topic_id,cv_score,cnpmi_score,size,top_words,word_weights
95,0.6744079776636281,0.06387079751405753,44,"women, pension, 1950s, age, retirement, born, pensions, waspi, state, court","0.0416, 0.0353, 0.0322, 0.0240, 0.0220, 0.0217, 0.0216, 0.0196, 0.0137, 0.0113"
96,0.3592233592712225,-0.0779829330418962,43,"businesses, deal, brexit, sector, aerospace, no, eu, business, automotive, manufacturing","0.0184, 0.0133, 0.0127, 0.0122, 0.0121, 0.0108, 0.0097, 0.0093, 0.0084, 0.0079"
97,0.5167798162550594,0.007213145170821623,43,"medicines, shortages, supply, medicine, supplies, medical, constituent, brexit, drugs, deal","0.0446, 0.0209, 0.0206, 0.0202, 0.0145, 0.0123, 0.0123, 0.0119, 0.0119, 0.0113"
98,0.44451553014044365,-0.05075127658901674,42,"cash, post, banking, banks, barclays, bank, access, offices, finance, office","0.0331, 0.0314, 0.0253, 0.0228, 0.0203, 0.0158, 0.0155, 0.0152, 0.0145, 0.0140"
99,0.7167249945276443,0.10004728887105892,42,"nurses, nursing, workforce, nurse, nhs, staff, staffing, care, patients, training","0.0315, 0.0260, 0.0242, 0.0208, 0.0167, 0.0167, 0.0137, 0.0136, 0.0116, 0.0101"
100,0.3903545137082829,-0.11126493662667598,41,"wto, trade, tariffs, rules, dispute, states, united, airbus, free, boeing","0.0546, 0.0296, 0.0228, 0.0188, 0.0174, 0.0169, 0.0149, 0.0145, 0.0120, 0.0107"
101,0.40186121298037936,-0.011024035504516588,41,"smoking, cigarettes, vaping, tobacco, smoke, products, cigarette, health, cessation, smokers","0.0538, 0.0464, 0.0345, 0.0256, 0.0181, 0.0148, 0.0132, 0.0128, 0.0127, 0.0123"
102,0.5331759929221596,-0.17104486102526856,40,"yemen, humanitarian, un, conflict, ceasefire, peace, saudi, petition, arabia, houthi","0.0713, 0.0302, 0.0276, 0.0205, 0.0146, 0.0137, 0.0133, 0.0127, 0.0115, 0.0109"
103,0.3369945637190584,-0.13376565878286567,40,"benn, extension, law, letter, act, deal, minister, prime, comply, 19","0.0379, 0.0241, 0.0211, 0.0204, 0.0192, 0.0168, 0.0150, 0.0149, 0.0125, 0.0117"
104,0.8060336359982194,0.0935861523719959,40,"uniform, school, uniforms, parents, cost, schools, children, items, guidance, families","0.0569, 0.0433, 0.0279, 0.0173, 0.0140, 0.0129, 0.0106, 0.0100, 0.0093, 0.0086"
105,0.23993262359151415,-0.2690611234538782,39,"essex, incident, trafficking, ports, investigation, home, force, smuggling, port, refrigerated","0.0164, 0.0131, 0.0119, 0.0118, 0.0107, 0.0101, 0.0100, 0.0098, 0.0098, 0.0097"
106,0.2826217410955582,-0.15327223264268566,38,"assent, indicated, nod, proposition, answered, paid, take, way, because, his","1.9813, 1.7709, 0.0824, 0.0667, 0.0582, 0.0404, 0.0188, 0.0166, 0.0139, 0.0133"
107,0.2625757772049038,-0.2614956111128296,38,"liaison, mr, cummings, order, speaker, prime, minister, dominic, deputy, committee","0.0195, 0.0190, 0.0180, 0.0178, 0.0177, 0.0161, 0.0161, 0.0136, 0.0134, 0.0117"
108,0.39283370565874315,-0.29477876555461524,38,"yes, no, absolutely, okay, temporary, brief, possibly, wait, entirely, moment","1.0271, 0.1393, 0.1392, 0.0770, 0.0637, 0.0610, 0.0559, 0.0528, 0.0472, 0.0400"
109,0.6293057410919961,0.05879883601085197,37,"air, pollution, quality, clean, london, micrograms, nitrogen, particulate, cars, dioxide","0.0689, 0.0375, 0.0272, 0.0212, 0.0157, 0.0132, 0.0132, 0.0123, 0.0123, 0.0102"
110,0.6872576827142329,0.07973303924084768,37,"festival, festivals, artists, visas, visa, edinburgh, creative, performers, musicians, uk","0.0335, 0.0276, 0.0273, 0.0249, 0.0234, 0.0225, 0.0180, 0.0138, 0.0135, 0.0094"
111,0.5580452144565163,0.02385045911828144,36,"scottish, scotland, funding, funds, structural, money, fund, billion, eu, uk","0.0245, 0.0203, 0.0157, 0.0137, 0.0123, 0.0116, 0.0114, 0.0107, 0.0107, 0.0106"
112,0.2935746905195769,-0.2038592117783588,36,"relevant, writes, happy, her, meeting, assure, friend, matter, lady, hon","0.0181, 0.0180, 0.0163, 0.0159, 0.0149, 0.0137, 0.0131, 0.0126, 0.0126, 0.0125"
113,0.47470533952793353,0.07207767062437127,36,"loan, charge, hmrc, review, retrospective, suspend, duration, tax, roadchef, treasury","0.0667, 0.0619, 0.0399, 0.0308, 0.0273, 0.0225, 0.0168, 0.0138, 0.0138, 0.0129"
114,0.3040903736900365,-0.2872562329649609,36,"navy, ships, yards, defence, fleet, royal, frigates, hms, frigate, type","0.0334, 0.0255, 0.0213, 0.0213, 0.0198, 0.0195, 0.0161, 0.0148, 0.0143, 0.0137"
115,0.5730393199673561,0.06468021624077362,35,"trees, tree, planting, peat, planted, plant, woodland, carbon, forest, species","0.0492, 0.0350, 0.0316, 0.0213, 0.0186, 0.0156, 0.0124, 0.0119, 0.0107, 0.0101"
116,0.6762718969496375,0.07320262861097714,35,"gujarati, community, gujaratis, gujarat, contribution, harrow, india, hindu, uganda, they","0.0529, 0.0334, 0.0273, 0.0207, 0.0162, 0.0143, 0.0122, 0.0102, 0.0082, 0.0081"
117,0.6931631083085092,0.09280124351213874,35,"ai, data, patients, artificial, heart, nhs, intelligence, technology, healthcare, circulatory","0.0419, 0.0302, 0.0155, 0.0152, 0.0127, 0.0122, 0.0119, 0.0116, 0.0111, 0.0100"
118,0.3852205447991118,-0.13075080773952605,34,"hull, heritage, city, maritime, project, tourism, culture, visitors, museum, museums","0.0502, 0.0358, 0.0301, 0.0297, 0.0218, 0.0218, 0.0148, 0.0141, 0.0104, 0.0097"
