topic_id,topic_name,size
448,448_revaluation_rates_business_voa,12
449,449_pharmacies_pharmacy_brierley_mcardles,12
450,450_targets_deaths_casualty_injuries,11
451,451_parks_park_lake_national,11
452,452_aerospace_airbus_aircraft_industry,11
453,453_turnout_elections_election_november,11
454,454_inequalities_northeast_health_newcastle,11
455,455_labour_amnesia_wolf_ofgem,11
456,456_lead_shot_birds_wildfowl,11
457,457_ipsa_ipsas_meetings_chairman,11
458,458_mcdonalds_inquiries_promoter_criminalityand,11
459,459_maintenance_separated_hakim_mothers,11
460,460_abattoirs_sheep_abattoir_standards,11
461,461_colombia_farc_president_unionists,11
462,462_learned_lady_give_comparisons,11
463,463_music_creative_creativity_art,11
464,464_material_intelligence_clause_proceedings,11
465,465_pedicabs_pedicab_promoters_taxi,11
466,466_deputy_initiatives_constitutional_prime,11
467,467_sex_education_schools_pshe,11
468,468_murdoch_murdochs_coulson_rupert,11
469,469_yesvery_absolutely_clever_yes,11
470,470_enterprises_services_public_contracts,11
471,471_religious_faith_marriage_teachers,11
472,472_journalists_unesco_ipdc_lawyers,11
473,473_shadow_chancellor_imf_opportunism,11
474,474_beg_sit_move_private,11
475,475_impact_assessment_mcnulty_assessments,11
476,476_sport_sports_rugby_gb,10
477,477_asians_ugandan_uganda_leicester,10
478,478_irregularity_technical_doctor_authorisation,10
479,479_tunisian_tunisia_territories_arab,10
480,480_india_trade_ukti_agreement,10
481,481_guards_ships_armed_piracy,10
482,482_coroner_inquests_coroners_inquest,10
483,483_councils_council_tax_local,10
484,484_hs2_assumptions_wobble_miscalculations,10
485,485_clova_dpp_twittered_fyfe,10
486,486_manchester_witham_knoll_nonoffending,10
487,487_grimsby_cleethorpes_lincolnshire_wards,10
488,488_shortlists_candidates_selection_parties,10
489,489_zones_enterprise_welsh_athan,10
490,490_cornwall_cornish_minus_scilly,10
491,491_bullying_homophobic_stonewall_gay,10
492,492_forecasts_obr_fiscal_responsibility,10
493,493_italian_italians_operation_hostage,10
