topic_id,cv_score,size,top_words,word_weights
79,0.730267288341112,122,"nato, defence, estonia, europe, poland, allies, european, troops, alliance, commitment","0.090, 0.032, 0.017, 0.016, 0.014, 0.014, 0.011, 0.010, 0.009, 0.009"
80,0.6132841381423163,120,"ncs, young, programme, backgrounds, participants, people, integration, youth, social, volunteering","0.059, 0.020, 0.009, 0.008, 0.007, 0.007, 0.007, 0.007, 0.007, 0.006"
81,0.4565333265355762,119,"environmental, principles, environment, law, eu, standards, body, legislation, protections, bill","0.038, 0.016, 0.015, 0.011, 0.009, 0.008, 0.007, 0.007, 0.007, 0.006"
82,0.7840605665867639,114,"automotive, vauxhall, psa, plant, plants, industry, chain, sector, gm, ellesmere","0.025, 0.023, 0.020, 0.019, 0.015, 0.012, 0.011, 0.010, 0.010, 0.010"
83,0.6648467281662718,113,"nhs, nurses, nursing, staff, health, nurse, doctors, number, more, 000","0.030, 0.029, 0.013, 0.007, 0.007, 0.007, 0.006, 0.005, 0.005, 0.005"
84,0.40166392086411196,113,"self, employed, employment, insurance, tax, contributions, chancellor, national, bogus, taylor","0.054, 0.052, 0.019, 0.012, 0.011, 0.009, 0.008, 0.006, 0.006, 0.005"
85,0.7877060900089655,108,"antibiotics, resistance, antibiotic, antimicrobial, amr, neill, tb, diseases, infections, malaria","0.037, 0.025, 0.020, 0.017, 0.015, 0.011, 0.011, 0.010, 0.009, 0.009"
86,0.2673647710158265,107,"eu, leaving, uk, discussions, assessment, leaves, steps, what, he, department","0.052, 0.045, 0.042, 0.041, 0.032, 0.031, 0.024, 0.023, 0.021, 0.020"
87,0.755835526797836,106,"war, passchendaele, battle, ypres, centenary, memorial, 1917, men, memorials, was","0.030, 0.017, 0.014, 0.011, 0.010, 0.008, 0.008, 0.008, 0.008, 0.007"
88,0.8387752677335143,105,"kashmir, india, pakistan, indian, kashmiri, pellet, human, guns, jammu, rights","0.051, 0.025, 0.025, 0.024, 0.016, 0.013, 0.011, 0.011, 0.010, 0.008"
89,0.39604304491676895,104,"data, protection, adequacy, gdpr, eu, european, uk, personal, digital, flow","0.057, 0.023, 0.021, 0.014, 0.008, 0.008, 0.008, 0.008, 0.007, 0.006"
90,0.8410705836019278,101,"road, highways, roads, england, congestion, traffic, network, bypass, route, junction","0.028, 0.022, 0.017, 0.011, 0.011, 0.011, 0.011, 0.009, 0.009, 0.007"
91,0.6881395284530748,99,"legal, aid, laspo, justice, advice, litigants, court, access, cases, system","0.049, 0.041, 0.018, 0.016, 0.011, 0.010, 0.010, 0.009, 0.009, 0.008"
92,0.32936878472379416,99,"president, trump, visit, invitation, states, donald, state, america, united, american","0.030, 0.029, 0.025, 0.012, 0.010, 0.010, 0.009, 0.009, 0.008, 0.008"
93,0.3606526184229215,96,"progress, yes, then, will, make, delighted, certainly, am, happy, finish","0.062, 0.044, 0.032, 0.031, 0.029, 0.029, 0.026, 0.025, 0.025, 0.024"
94,0.7171624225533259,95,"students, international, universities, migration, study, immigration, university, student, higher, net","0.061, 0.025, 0.022, 0.016, 0.014, 0.011, 0.009, 0.009, 0.009, 0.009"
95,0.33262102566758156,95,"give, way, time, then, last, once, will, conclude, one, happy","0.139, 0.106, 0.037, 0.031, 0.030, 0.029, 0.023, 0.023, 0.021, 0.018"
96,0.24900472956638434,95,"give, gentleman, way, right, hon, will, intervening, typical, the, men","0.201, 0.176, 0.159, 0.105, 0.056, 0.040, 0.009, 0.008, 0.006, 0.004"
97,0.5669523682050389,94,"hurricane, islands, territories, anguilla, overseas, irma, virgin, hurricanes, british, caribbean","0.039, 0.021, 0.020, 0.020, 0.016, 0.015, 0.014, 0.013, 0.011, 0.010"
98,0.7091386629459947,94,"zimbabwe, mugabe, elections, africa, zimbabwean, harare, foreign, drc, democratic, african","0.057, 0.020, 0.017, 0.012, 0.011, 0.010, 0.009, 0.008, 0.008, 0.008"
99,0.9370716893061869,92,"tolls, bridge, toll, crossings, crossing, halton, mersey, severn, bridges, tolled","0.036, 0.029, 0.020, 0.016, 0.015, 0.014, 0.014, 0.013, 0.013, 0.010"
100,0.9493292782532551,92,"badgers, tb, culling, badger, cattle, bovine, disease, cull, vaccination, vaccine","0.041, 0.038, 0.034, 0.031, 0.031, 0.023, 0.021, 0.019, 0.018, 0.010"
101,0.27956519296209886,91,"give, way, gentleman, hon, lady, again, conscious, progress, intervene, will","0.075, 0.064, 0.064, 0.025, 0.017, 0.017, 0.016, 0.016, 0.015, 0.015"
102,0.7907002373664093,87,"councils, local, district, council, authorities, councillors, unitary, lancashire, funding, government","0.032, 0.023, 0.022, 0.012, 0.011, 0.009, 0.009, 0.007, 0.006, 0.006"
